证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
300298.SZ,300298,3.5,1,4.5,1,3.5,1.5,1,★★★☆,★,★★★★☆,★,★★★☆,★☆,★
300314.SZ,300314,2,0.5,4.5,0.5,3.5,1,2,★★,☆,★★★★☆,☆,★★★☆,★,★★
300318.SZ,300318,0.5,2,0.5,4,0.5,0.5,3.5,☆,★★,☆,★★★★,☆,☆,★★★☆
300326.SZ,300326,2,2,3,1.5,1,0.5,1.5,★★,★★,★★★,★☆,★,☆,★☆
300347.SZ,300347,3.5,3.5,4,1.5,2.5,1,1,★★★☆,★★★☆,★★★★,★☆,★★☆,★,★
300357.SZ,300357,5,0.5,5,0.5,5,0.5,5,★★★★★,☆,★★★★★,☆,★★★★★,☆,★★★★★
300358.SZ,300358,1.5,2,2,2,1,2,2,★☆,★★,★★,★★,★,★★,★★
300363.SZ,300363,2,1,3.5,1.5,2,2.5,2,★★,★,★★★☆,★☆,★★,★★☆,★★
300381.SZ,300381,2,3,1.5,3,1.5,2,2.5,★★,★★★,★☆,★★★,★☆,★★,★★☆
300396.SZ,300396,3.5,3,4,1,1.5,1,1.5,★★★☆,★★★,★★★★,★,★☆,★,★☆
300401.SZ,300401,4.5,0.5,5,0.5,3,0.5,3,★★★★☆,☆,★★★★★,☆,★★★,☆,★★★
300404.SZ,300404,1,1.5,2,2.5,1,1,1.5,★,★☆,★★,★★☆,★,★,★☆
300406.SZ,300406,4,0.5,5,0.5,3.5,0.5,3,★★★★,☆,★★★★★,☆,★★★☆,☆,★★★
300434.SZ,300434,3,1.5,4,1,1,4,0.5,★★★,★☆,★★★★,★,★,★★★★,☆
300436.SZ,300436,2,2,2,4.5,1.5,1.5,1,★★,★★,★★,★★★★☆,★☆,★☆,★
300451.SZ,300451,2,2,3,1.5,1.5,1,0.5,★★,★★,★★★,★☆,★☆,★,☆
300452.SZ,300452,2.5,2,4,1,2.5,1,1,★★☆,★★,★★★★,★,★★☆,★,★
300453.SZ,300453,2,2,3,1.5,2.5,1.5,0.5,★★,★★,★★★,★☆,★★☆,★☆,☆
300463.SZ,300463,3.5,4,3.5,1.5,2,1.5,2,★★★☆,★★★★,★★★☆,★☆,★★,★☆,★★
300482.SZ,300482,4,2,4.5,1,3.5,1.5,1.5,★★★★,★★,★★★★☆,★,★★★☆,★☆,★☆
300485.SZ,300485,4.5,0.5,5,0.5,5,4,4.5,★★★★☆,☆,★★★★★,☆,★★★★★,★★★★,★★★★☆
300497.SZ,300497,3.5,4,3.5,1.5,2.5,2,2.5,★★★☆,★★★★,★★★☆,★☆,★★☆,★★,★★☆
300519.SZ,300519,4.5,0.5,5,0.5,5,3,4.5,★★★★☆,☆,★★★★★,☆,★★★★★,★★★,★★★★☆
300529.SZ,300529,4.5,1,5,0.5,3.5,0.5,3,★★★★☆,★,★★★★★,☆,★★★☆,☆,★★★
300534.SZ,300534,1,0.5,4,1,2.5,1,0.5,★,☆,★★★★,★,★★☆,★,☆
300550.SZ,300550,2.5,2.5,3,2,1.5,2.5,2,★★☆,★★☆,★★★,★★,★☆,★★☆,★★
300558.SZ,300558,3,3.5,3,2,2,2,1,★★★,★★★☆,★★★,★★,★★,★★,★
600055.SH,600055,1.5,1,3.5,1,2,1,1,★☆,★,★★★☆,★,★★,★,★
