证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
603811.SH,603811,,,,,,,
603858.SH,603858,,,,,,,
603880.SH,603880,,,,,,,
603882.SH,603882,,,,,,,
603883.SH,603883,4.5,5.0,3.0,2.5,4.0,4.5,2.5
603896.SH,603896,,,,,,,
603939.SH,603939,4.5,4.5,3.0,2.0,3.5,4.0,2.0
603963.SH,603963,,,,,,,
603976.SH,603976,,,,,,,
603987.SH,603987,,,,,,,
603990.SH,603990,,,,,,,
603998.SH,603998,1.5,2.0,2.0,2.0,3.0,1.5,1.0
900904.SH,900904,,,,,,,
900917.SH,900917,,,,,,,
900943.SH,900943,,,,,,,
