证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
603669.SH,603669,,,,,,,
603676.SH,603676,,,,,,,
603707.SH,603707,,,,,,,
603716.SH,603716,,,,,,,
603718.SH,603718,,,,,,,
603739.SH,603739,,,,,,,
603811.SH,603811,,,,,,,
603858.SH,603858,,,,,,,
603880.SH,603880,,,,,,,
603882.SH,603882,,,,,,,
603883.SH,603883,,,,,,,
603896.SH,603896,,,,,,,
603939.SH,603939,,,,,,,
603963.SH,603963,,,,,,,
603976.SH,603976,,,,,,,
603987.SH,603987,,,,,,,
603990.SH,603990,,,,,,,
603998.SH,603998,,,,,,,
900904.SH,900904,,,,,,,
900917.SH,900917,,,,,,,
900943.SH,900943,,,,,,,
